Geneid,SRR6671741,SRR6671742,SRR6671744,SRR6671745,SRR6671746,SRR6671748,SRR6671757,SRR6671770,SRR6671771,SRR6671776,SRR6671780,SRR6671781,SRR6671782,SRR6671790,SRR6671736,SRR6671739,SRR6671749,SRR6671752,SRR6671753,SRR6671754,SRR6671755,SRR6671764,SRR6671772,SRR6671773,SRR6671775,SRR6671777,SRR6671779,SRR6671789,SRR6671737,SRR6671738,SRR6671740,SRR6671743,SRR6671747,SRR6671750,SRR6671751,SRR6671756,SRR6671758,SRR6671759,SRR6671760,SRR6671761,SRR6671762,SRR6671763,SRR6671765,SRR6671766,SRR6671767,SRR6671768,SRR6671769,SRR6671774,SRR6671778,SRR6671783,SRR6671784,SRR6671785,SRR6671786,SRR6671787,SRR6671788,SRR6671791,SRR6671792
AAC73112.1,166.663,94.939,122.999,61,53.662,184.104,94.77,46,208.615,75,245.217,602.792,311.999,76,94.692,75.177,81.996,141,75.027,367,62.994,65.901,66.313,79,95.923,53,297.481,113,100.833,671.464,102,84,61,62,155.984,124.29,88,84.959,100.096,60,40,127.872,63.002,112,73.947,136,57.618,107,116.573,333.476,81,60,56.997,135.586,104,53,88.658
AAC73113.1,1369.368,792.82,965.172,1119.99,762.096,1764.942,983.968,572.786,1355.056,887.103,3027.066,20599.072,6765.177,627.41,1215.531,1062.404,684.181,2332.513,2349.345,2867.875,882.132,1026.551,644.333,910.103,885.506,709.676,3867.937,1483.631,1168.338,823.801,1125.856,964.567,1185.621,450.805,6027.985,894.264,1019.516,711.724,766.713,780.193,917.336,2203.809,1187.554,1172.807,874.247,1014.183,473.59,833.112,2285.009,1790.474,600.264,477.451,465.244,1553.432,954.07,431.216,681.005
AAC73114.1,664.449,565.003,563.893,484.684,349.973,1021.05,682.444,301.27,718.041,378.258,995.504,8815.053,4312.259,343.755,679.248,535.846,384.572,1178.232,994.361,1559.288,491.114,512.642,436.023,486.753,647.161,309.155,1628.778,868.662,650.42,636.207,542.787,503.634,411.806,265.348,2347.176,513.528,665.1,350.248,364.003,334.781,412.922,1002.985,454.132,588.204,544.259,475.815,305.565,428.061,924.114,909.519,363.316,294.398,221.254,777.229,586.167,241.672,310.118
AAC73115.1,1001.702,829.85,747.59,504.334,407.55,1547.398,1116.909,472.094,1046.992,645.015,1008.818,5187.171,2090.233,543.266,1143.786,783.514,565.146,1198.471,935.471,2464.05,661.774,534.647,651.213,661.072,1056.818,497.649,1602.018,1092.626,878.704,715.49,856.586,666.403,481.711,373.663,2198.575,702.52,1066.313,554.696,588.176,471.059,687.532,1026.788,490.507,931.091,746.654,749.451,519.153,626.873,973.579,937.424,596.841,426.741,356.298,1066.271,882.219,316.179,349.591
AAC73116.1,41.006,60,111,83,45.298,66,37.003,25,57,33.005,97.03,1929.213,1274.441,35,256.291,20,25.072,139.313,137,1228,825.009,78.319,16,18,34,36,100,977.064,365.008,344.759,23,74.014,57.382,33.001,241.447,617.455,37,17,26.041,21,26,141.417,75.046,522.365,593.934,433,16,31,47,1336.785,16,37,15.008,994.331,1257.255,63,60
AAC73117.1,1655.253,855.559,820.46,260.497,265.681,2337.744,1010.244,861.384,1695.963,768.087,544,16960.524,3059.357,781.02,1083.35,1034.325,889.344,344.547,304.273,2768.854,957.498,357.09,769.326,759.469,882.47,537.35,656.313,1287.457,855.484,708.916,1184.731,806.071,210.052,603.118,388.548,854.411,1039.061,824.804,834.935,532.653,565.092,361.828,287.405,1004.777,775.964,679.129,815.772,670.652,539.008,651.44,1004.567,987.818,628.856,1109.361,1214.296,581.733,525.791
AAC73118.1,754.227,686.783,598.875,345.612,304.726,1817.63,774.846,505.786,1588.173,371.631,124.032,297.217,144.022,737.387,603.453,498.199,646.164,502.115,518.005,1923.177,404.032,449.128,526.538,473.035,669.566,265.035,120.036,447.656,432.407,487.781,452.071,427.899,242.912,413.28,436.45,383.53,733.243,430.125,372.469,321.873,318.929,415.699,367.269,616.94,440.98,447.917,740.527,393.168,83,82.002,876.347,641.28,616.349,589.109,568.994,852.655,998.321
AAC73119.1,31709.284,19662.427,16957.569,10379.536,10867.597,54561.497,24038.97,21299.632,44102.609,19070.044,12950.318,41412.84,11848.263,15695.974,25959.363,23003.778,17627.346,15006.062,12720.862,68995.778,22197.432,11770.826,15949.692,16335.031,19468.158,12039.477,16724.387,25233.992,20734.036,15161.611,24267.783,17788.602,7030.92,12462.812,13015.992,17062.455,22848.616,15913.917,16452.695,11078.651,13449.076,10496.385,8410.745,25225.098,20310.105,15586.029,21883.906,13319.548,12291.813,15037.214,29952.017,18919.502,14884.891,24371.944,29316.371,12800.645,11136.866
AAC73120.1,1018.997,657.345,650.867,1021.726,850.793,1701.953,756.125,675.623,1911.007,602.118,733.912,2110.323,1048.722,1006.682,707.951,794.762,635.782,1209.385,1175.199,2018.122,581.922,802.428,508.524,596.985,651.355,543.755,678.043,674.713,685.705,652.413,702.768,601.589,841.606,756.641,1520.114,471.695,760.939,448.397,595.825,580.012,720.405,918.245,729.95,707.738,673.846,714.573,585.217,590.163,493.661,509.745,797.84,499.245,598.194,709.069,775.423,1086.959,1296.398
AAC73121.1,188.182,208.568,576,784.926,421.769,437,294.478,177.124,1005.063,256.812,275.364,103,64,235.571,94.057,122.052,207.087,921.399,583.403,448.005,145.001,667.002,170.281,243.957,247.1,348.094,186.947,131,159.128,324.038,123,254.041,702.008,268.34,1275.4,194.512,385.573,168.133,288.199,378.102,402.442,996.729,692.526,130.818,159.179,269,138.11,286.129,76,50,223.601,214,401.305,124.399,131.303,276.006,583.682
AAC73122.1,23.457,21.063,16,19.836,20.608,47,19,11,47,16.94,13,62.911,53,15,20,16,16,36.791,22.709,76.817,16,21,11,19.949,17,13,20.795,20.879,17.005,24.516,10,16,25,10.777,37.506,15,30,10,29,10,16,18,12,24.182,25.003,16.989,14,18,22,38.999,15,11,15,28,27.69,6,16.797
AYC08161.1,0,1,1,2,4,3,1,0,3,1.06,9,4.089,3,0,2,0,0,6.209,4.005,3,2,3,1,1.051,0,0,8,2.121,1,1,0,2,8,2.223,10,0,3,0,2,1,1,2,7,0,1,0,1,0,0,0,1,1,1,1,0,2,4
AAC73124.1,6.543,2,5,7.164,4.392,9,0,5,9,1,5,0,2,8,3,3,3,16,9.51,11.183,3,7,4,3,1,2,5.316,4,3,3.484,2,2,3,2,10.496,2,3,5,1,6,4,9,3,1,6,4.011,2,5,2,2.001,2,4,4,5,4.312,3,3.205
AAC73125.1,69613.64,65442.795,110334.112,1334.016,1628.873,315407.829,60356.901,164294.32,321307.123,130943.216,192624.066,586821.015,389422.902,33198.721,81035.948,90068.737,105088.694,2909.888,2393.053,315970.958,124574.938,2885.476,68252.863,106162.083,38936.405,96827.223,247870.314,150056.371,94398.556,61452.533,85715.748,117748.782,1154.651,48427.041,2084.307,84089.599,47788.992,107908.593,107714.014,82127.502,103968.763,1292.584,1425.387,132242.685,96460.869,66560.862,66155.363,50102.175,160709.545,197427.064,170529.601,126675.827,75269.981,124577.455,111922.12,6225.473,2536.57
AAC73126.1,3840.529,3802.582,6026.626,374.884,406.367,19342.046,3809.185,7328.671,19787.28,8002.026,9814.458,19241.038,15008.063,2767.7,5062.204,5465.143,6545.247,551.722,466.881,17271.588,7445.397,670.258,4057.459,7104.426,2709.923,7563.58,9856.698,6216.68,5982.995,4659.016,4286.819,7173.647,321.95,3847.498,533.215,3343.281,3378.601,4731.52,7045.71,6520.641,9669.991,400.252,378.632,6608.053,5577.029,5106.676,3253.882,4254.078,9374.775,6601.199,6589.992,3898.006,3538.438,5198.147,5423.056,913.349,663.849
AAC73127.1,4551.748,2545.695,5228.061,1265.722,1155.406,9487.636,2658.239,3998.093,10954.064,3771.29,5112.829,3915.413,2239.139,2265.546,2812.749,3857.675,4807.851,2648.092,2271.341,7668.855,3942.262,1821.005,2583.006,4542.74,2292.762,3901.211,4687.62,3206.589,3745.221,2920.399,3629.398,4553.071,865.265,3174.788,2397.787,2707.833,2573.064,3114.658,3528.179,3806.818,4769.238,1551.65,1291.452,3059.646,3398.917,3585.896,1743.668,3330.07,3512.727,1754.97,3067.23,3789.71,2591.118,2249.853,2684.722,1497.923,1205.821
AAC73129.1,73.04,69.206,61,87.872,103.054,73,53.032,23,87,41,52.976,184,83.044,62,29,49,36,137.18,110.808,174.784,32,81.532,44.275,43.368,49,36,41.344,44,40,66,62,52,92,21,97.856,39,49.203,52.03,60,37,50,117,102.128,40,61,40,37,32,18,52,42.312,45.149,26,50,49.988,91.152,87
AAT48122.1,0,0,0,21.131,0,0,0,0,0,0,4.041,0,0,0,0,0,0,0,10.659,15.216,0,14.468,7.725,5.341,0,0,0,0,0,0,0,0,0,0,16.144,0,7.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.851,0,0,0,0,0
AAC73130.1,4456.046,1316.017,3143.652,940.453,900.365,3486.104,1240.7,1473.352,6448.544,1427.035,2736.418,2995.996,956.526,935.156,1080.196,2208.168,1518.802,1275.036,1770.93,4110.658,1395.972,1227.235,1174.305,1481.748,1141.788,1658.205,2142.666,1866.569,1415.997,1247.277,2224.835,1689.415,1081.998,1731.097,1240.808,1546.85,1221.38,1201.888,1284.174,1927.834,2203.457,866.585,1554.99,2181.574,1963.221,2353.293,1120.745,1805.414,670.612,996.189,1870.627,1609.885,2341.233,1398.213,1503.952,826.535,1100.562
AAC73131.1,1377.661,622.557,970.874,591.074,677.88,1478.867,637.498,507.759,2094.769,582.043,1010.599,1052.542,423.519,556.028,550.453,695.642,678.508,1162.961,1261.917,1900.298,596.833,883.377,495.279,692.647,542.337,600.154,735.115,638.349,582.818,538.549,667.956,682.401,704.349,728.602,1144.511,578.349,626.526,504.097,480.869,649.555,707.884,789.275,937.761,855.155,753.069,803.448,399.624,675.185,266.343,552.638,629.265,630.104,651.944,554.643,610.836,644.161,702.99
AAC73132.1,69.304,73.774,103.991,161.859,124.328,120.58,42.694,47.436,155.016,42.291,163.082,58.162,37.818,140.794,41.329,31.339,72.559,191.426,211.161,213.658,44.289,109.483,51.081,60.051,42.872,53.094,142.525,40.622,59.229,68.437,58.968,62.685,187.445,75.537,239.559,37.86,59.166,43.062,46.427,55.288,68.662,134.785,149.444,55.932,47.768,61.12,44.513,61.605,59.064,31.642,36.238,57.344,76.473,47.187,53.315,148.177,242.049
AAC73133.1,103.65,94.826,150.67,271.922,229.917,196.421,92.037,81.597,254.558,77.896,281.197,95.838,40.904,160.645,75.995,69.952,113.227,233.082,192.753,205.512,64.918,182.428,73.594,103.528,91.123,103.568,206.311,64.417,79.926,122.276,53.961,98.681,270.104,133.565,414.285,78.581,82.237,80.119,76.463,67.586,72.506,270.726,247.233,69.414,78.055,114.276,72.283,82.364,79.517,53.145,109.254,81.507,123.304,74.171,79.478,263.988,318.835
AAC73134.1,16082.893,8729.542,22618.368,19085.825,17516.041,27186.001,9851.292,12088.317,47216.713,12773.811,7072.977,5689.453,1252.478,14089.317,7395.01,7773.072,12917.066,13306.406,13644.405,24987.557,9182.477,13112.507,7802.511,11296.015,9520.427,13991.273,6526.054,7147.479,10393.427,12049.024,8732.804,11924.452,14661.428,18364.113,12041.927,10973.455,10808.591,9523.917,11004.069,13067.889,15678.87,14293.313,13238.592,7787.618,8631.168,13081.958,7672.286,12709.949,4897.781,4697.569,12569.896,13592.984,21872.368,5777.155,7794.967,19054.88,17154.109
AAC73135.1,14.809,22.8,18.209,16.776,15.263,35.692,11.213,8.254,16.207,16.237,87.142,120.449,58.12,8.132,22.578,10.988,10.356,25.442,28.862,59.58,11.23,26.717,10.416,18.198,13.236,12.199,101.805,16.582,23.528,8.154,12.598,14.383,16.438,16.395,68.957,11.123,15.16,15.353,13.802,8,11.111,30.565,25.834,20.31,12.943,19.158,7.164,10.496,43.939,35.473,12.291,7.066,11,18.999,14.602,20.241,27.198
AAC73136.1,4813.592,3425.327,3501.127,3382.531,3054.142,9955.68,4037.7,3413.17,8556.159,3420.363,2353.483,5022.152,1777.328,3179.706,3514.465,3302.44,3418.91,3902.861,3416.391,10520.562,2907.839,3153.75,2771.541,2998.144,3415.868,2654.983,2762.95,3256.505,2940.021,3087.923,3233.574,3015.934,2838.14,2989.424,4879.294,2698.642,3913.157,2931.326,2983.499,2382.126,2786.5,3492.071,2549.561,3553.094,2809.582,2926.181,2981.309,2712.824,2343.367,3595.363,3973.15,2982.083,2985.216,3249.271,3597.979,3021.959,3112.491
AAC73137.1,16020.74,13818.794,12996.469,15810.129,13783.473,43666.637,16145.364,15601.673,32155.509,15933.033,12191.38,31738.304,16909.263,11963.789,16477.265,14984.132,15179.964,16268.881,13555.375,39839.922,15617.251,14753.083,12063.151,15048.289,13655.955,10954.196,17339.392,13795.116,14325.731,11029.142,13937.95,15256.627,13275.462,10543.618,18484.882,9910.154,15657.434,13121.221,14680.979,10607.283,14292.981,16025.231,11425.244,15880.235,13192.488,13501.292,12159.126,12138.631,14741.782,11061.854,16882.429,11095.912,9936.724,12376.003,13844.831,8257.83,10619.48
AAC73138.1,1448.838,1223.04,1420.423,1331.652,1005.468,3232.515,1268.429,1051.907,2650.071,1215.197,1322.381,3490.231,2405.454,1102.079,1679.842,1250.509,1325.466,1622.776,1379.498,3770.246,2005.515,1154.457,1114.957,1432.386,1263.006,858.299,1936.521,2108.767,1877.49,2634.424,1226.821,1421.543,1196.076,726.777,1571.445,1499.603,1261.167,1213.886,1257.535,982.796,1376.584,1462.444,1020.076,2170.509,2129.612,2067.282,946.165,1109.676,1344.524,781.823,1364.594,1139.296,850.258,1699.816,1520.737,692.664,984.581
AAC73139.1,1168.792,1049.812,1207.354,1235.537,887.519,3059.527,1084.084,928.304,2329.129,1078.541,982.651,2302.542,1182.548,1092.977,1485.898,1078.64,1228.275,1317.061,1193.648,3384.161,1489.532,1111.179,823.638,1223.85,1123.7,798.241,1412.971,1471.818,1462.37,1393.223,1025.853,1279.342,1027.098,791.224,1604.194,1125.5,1256.488,920.495,1051.871,906.203,1114.951,1126.791,925.763,1761.969,1571.415,1685.175,793.742,1012.322,1089.359,637.823,1028.444,821.294,747.561,1213.42,1186.679,771.62,971.307
